id,curta,com_path_raso,com_path_profundo,com_query,com_fragmento,padrao_id_variavel,multi_dominio,slug,hierarquica
1,example.com,https://example.com/about,https://shop.example.com/cat/sub/sub2/item,https://api.example.com/v1/users?id=1&fmt=json,https://docs.com/page#section1,https://api.example.com/v1/users/1,https://gmail.com,https://blog.com/como-fazer-cafe-frio,https://shop.example.com/cat-eletronicos/sub-tv/item-led-50
2,example.com,https://example.com/contact,https://shop.example.com/cat/sub/sub2/item,https://api.example.com/v1/users?id=2&fmt=json,https://docs.com/page#section2,https://api.example.com/v1/users/2,https://yahoo.com,https://blog.com/dicas-de-cafe,https://shop.example.com/cat-eletronicos/sub-tv/item-led-55
3,example.com,https://example.com/about,https://shop.example.com/cat/sub/sub3/item,https://api.example.com/v1/users?id=3&fmt=json,https://docs.com/page#intro,https://api.example.com/v1/users/3,https://hotmail.com,https://blog.com/como-fazer-cafe-quente,https://shop.example.com/cat-eletronicos/sub-celular/item-galaxy-s23
4,foo.com,https://foo.com/login,https://api.foo.com/v2/orders/2026/05/list,https://api.example.com/v1/orders?id=42&fmt=xml,https://docs.com/page#install,https://api.example.com/v1/orders/100,https://outlook.com,https://blog.com/como-fazer-cha-verde,https://shop.example.com/cat-roupa/sub-camiseta/item-azul-m
5,bar.com,https://bar.com/home,https://api.bar.com/v2/products/cat/sub/list,https://api.example.com/v1/orders?id=43&fmt=json,https://docs.com/page#config,https://api.example.com/v1/orders/101,https://uol.com.br,https://blog.com/como-fazer-suco-natural,https://shop.example.com/cat-roupa/sub-camiseta/item-azul-g
6,example.com,https://example.com/about,https://shop.example.com/cat/sub/sub2/item,https://api.example.com/v1/users?id=4&fmt=json,https://docs.com/page#section1,https://api.example.com/v1/users/4,https://gmail.com,https://blog.com/como-fazer-cafe-frio,https://shop.example.com/cat-eletronicos/sub-tv/item-led-50
7,example.com,https://example.com/products,https://shop.example.com/cat/sub/sub2/item2,https://api.example.com/v1/products?id=5&fmt=json,https://docs.com/page#api,https://api.example.com/v1/users/5,https://yahoo.com,https://blog.com/dicas-de-cafe,https://shop.example.com/cat-eletronicos/sub-tv/item-led-50
8,foo.com,https://foo.com/about,https://api.foo.com/v2/orders/2026/05/list,https://api.example.com/v1/users?id=6&fmt=xml,https://docs.com/page#help,https://api.example.com/v1/users/6,https://gmail.com,https://blog.com/como-fazer-cafe-frio,https://shop.example.com/cat-celular/sub-galaxy/item-s23
9,bar.com,https://bar.com/about,https://api.bar.com/v2/products/cat/sub/list,https://api.example.com/v1/users?id=7&fmt=json,https://docs.com/page#section3,https://api.example.com/v1/users/7,https://outlook.com,https://blog.com/dicas-de-cafe,https://shop.example.com/cat-celular/sub-galaxy/item-a14
10,example.com,https://example.com/services,https://shop.example.com/cat/sub3/sub2/item,https://api.example.com/v2/users?id=8&fmt=json,https://docs.com/v2#section,https://api.example.com/v1/users/8,https://gmail.com,https://blog.com/dicas-de-cafe,https://shop.example.com/cat-celular/sub-galaxy/item-fold5
11,foo.com,https://foo.com/services,https://api.foo.com/v2/orders/2026/06/list,https://api.example.com/v1/orders?id=44&fmt=json,https://docs.com/v2#guide,https://api.example.com/v1/orders/102,https://yahoo.com,https://blog.com/dicas-de-cafe,https://shop.example.com/cat-roupa/sub-calca/item-jeans-38
12,example.com,https://example.com/about,https://shop.example.com/cat/sub/sub2/item,https://api.example.com/v1/users?id=9&fmt=xml,https://docs.com/page#section1,https://api.example.com/v1/users/9,https://gmail.com,https://blog.com/como-fazer-cha-verde,https://shop.example.com/cat-roupa/sub-calca/item-jeans-40
13,baz.com,https://baz.com/index,https://www.baz.com/level1/level2/level3/level4,https://api.example.com/v1/users?id=10,https://docs.com/page#alpha,https://api.example.com/v1/users/10,https://uol.com.br,https://blog.com/como-fazer-suco-natural,https://shop.example.com/cat-livro/sub-tecnico/item-clean-code
